weather_grid,state,county,fips
296,TX,Wharton,48481
297,TX,Matagorda,48321
295,TX,Wharton,48481
298,TX,Brazoria,48039
188,FL,Osceola,12097
294,TX,Jackson,48239
299,TX,Brazoria,48039
293,TX,Lavaca,48285
292,TX,De Witt,48123
291,TX,De Witt,48123
290,TX,Gonzales,48177
289,TX,Wilson,48493
288,TX,Wilson,48493
287,TX,Wilson,48493
286,TX,Atascosa,48013
189,FL,Osceola,12097
285,TX,Medina,48325
284,TX,Medina,48325
283,TX,Medina,48325
282,TX,Uvalde,48463
281,TX,Uvalde,48463
190,FL,Osceola,12097
280,TX,Kinney,48271
208,FL,Pasco,12101
279,TX,Kinney,48271
278,TX,Kinney,48271
191,FL,Brevard,12009
209,FL,Pasco,12101
303,LA,Terrebonne,22109
210,FL,Pasco,12101
211,FL,Lake,12069
306,LA,Plaquemines,22075
212,FL,Orange,12095
307,LA,Plaquemines,22075
277,TX,Brewster,48043
213,FL,Orange,12095
342,TX,Wharton,48481
343,TX,Fort Bend,48157
341,TX,Wharton,48481
344,TX,Fort Bend,48157
276,TX,Brewster,48043
340,TX,Lavaca,48285
345,TX,Brazoria,48039
339,TX,Lavaca,48285
346,TX,Galveston,48167
338,TX,Lavaca,48285
347,TX,Galveston,48167
337,TX,Gonzales,48177
336,TX,Gonzales,48177
335,TX,Wilson,48493
334,TX,Wilson,48493
333,TX,Bexar,48029
214,FL,Orange,12095
332,TX,Bexar,48029
331,TX,Medina,48325
330,TX,Medina,48325
329,TX,Medina,48325
328,TX,Uvalde,48463
215,FL,Brevard,12009
327,TX,Uvalde,48463
326,TX,Kinney,48271
236,FL,Hernando,12053
325,TX,Kinney,48271
324,TX,Kinney,48271
216,FL,Brevard,12009
323,TX,Val Verde,48465
350,LA,Terrebonne,22109
237,FL,Hernando,12053
351,LA,Terrebonne,22109
352,LA,Terrebonne,22109
238,FL,Sumter,12119
353,LA,Lafourche,22057
354,LA,Lafourche,22057
239,FL,Lake,12069
356,LA,Plaquemines,22075
357,LA,Plaquemines,22075
240,FL,Orange,12095
322,TX,Brewster,48043
321,TX,Brewster,48043
241,FL,Orange,12095
396,TX,Austin,48015
397,TX,Fort Bend,48157
320,TX,Brewster,48043
395,TX,Colorado,48089
398,TX,Fort Bend,48157
394,TX,Colorado,48089
399,TX,Harris,48201
393,TX,Lavaca,48285
400,TX,Harris,48201
392,TX,Lavaca,48285
391,TX,Gonzales,48177
402,TX,Chambers,48071
390,TX,Gonzales,48177
403,TX,Chambers,48071
389,TX,Guadalupe,48187
319,TX,Brewster,48043
388,TX,Guadalupe,48187
387,TX,Bexar,48029
242,FL,Seminole,12117
386,TX,Bexar,48029
318,TX,Presidio,48377
385,TX,Bandera,48019
384,TX,Bandera,48019
383,TX,Medina,48325
407,LA,Cameron,22023
382,TX,Uvalde,48463
408,LA,Vermilion,22113
243,FL,Brevard,12009
381,TX,Real,48385
409,LA,Vermilion,22113
380,TX,Edwards,48137
410,LA,Iberia,22045
267,FL,Citrus,12017
379,TX,Edwards,48137
244,FL,Brevard,12009
378,TX,Edwards,48137
412,LA,St Mary,22101
377,TX,Val Verde,48465
413,LA,St Mary,22101
268,FL,Citrus,12017
376,TX,Val Verde,48465
414,LA,Terrebonne,22109
415,LA,Lafourche,22057
269,FL,Sumter,12119
416,LA,Lafourche,22057
417,LA,Jefferson,22051
418,LA,Plaquemines,22075
270,FL,Lake,12069
271,FL,Lake,12069
375,TX,Brewster,48043
374,TX,Brewster,48043
272,FL,Lake,12069
373,TX,Brewster,48043
467,TX,Austin,48015
468,TX,Waller,48473
466,TX,Austin,48015
469,TX,Harris,48201
465,TX,Colorado,48089
470,TX,Harris,48201
464,TX,Fayette,48149
471,TX,Harris,48201
463,TX,Fayette,48149
472,TX,Chambers,48071
462,TX,Bastrop,48021
473,TX,Chambers,48071
461,TX,Caldwell,48055
474,TX,Chambers,48071
460,TX,Caldwell,48055
475,TX,Jefferson,48245
372,TX,Brewster,48043
459,TX,Comal,48091
476,TX,Jefferson,48245
273,FL,Volusia,12127
458,TX,Comal,48091
477,LA,Cameron,22023
457,TX,Kendall,48259
478,LA,Cameron,22023
371,TX,Presidio,48377
456,TX,Kendall,48259
479,LA,Cameron,22023
455,TX,Kerr,48265
480,LA,Cameron,22023
454,TX,Bandera,48019
481,LA,Cameron,22023
370,TX,Presidio,48377
274,FL,Volusia,12127
453,TX,Real,48385
482,LA,Vermilion,22113
452,TX,Real,48385
483,LA,Vermilion,22113
369,TX,Presidio,48377
310,FL,Levy,12075
451,TX,Edwards,48137
484,LA,Iberia,22045
450,TX,Edwards,48137
485,LA,St Mary,22101
449,TX,Edwards,48137
486,LA,St Martin,22099
311,FL,Marion,12083
448,TX,Val Verde,48465
487,LA,Assumption,22007
447,TX,Val Verde,48465
488,LA,Lafourche,22057
446,TX,Val Verde,48465
489,LA,Lafourche,22057
312,FL,Marion,12083
445,TX,Val Verde,48465
490,LA,St Charles,22089
444,TX,Terrell,48443
491,LA,Jefferson,22051
313,FL,Marion,12083
443,TX,Terrell,48443
492,LA,St Bernard,22087
442,TX,Brewster,48043
441,TX,Brewster,48043
494,LA,St Bernard,22087
314,FL,Lake,12069
440,TX,Brewster,48043
439,TX,Brewster,48043
315,FL,Volusia,12127
438,TX,Brewster,48043
545,TX,Waller,48473
546,TX,Waller,48473
544,TX,Washington,48477
547,TX,Harris,48201
543,TX,Washington,48477
548,TX,Montgomery,48339
542,TX,Lee,48287
549,TX,Harris,48201
541,TX,Bastrop,48021
550,TX,Liberty,48291
540,TX,Bastrop,48021
551,TX,Liberty,48291
539,TX,Travis,48453
552,TX,Hardin,48199
360,FL,Dixie,12029
437,TX,Brewster,48043
538,TX,Hays,48209
553,TX,Jefferson,48245
316,FL,Volusia,12127
537,TX,Hays,48209
554,TX,Orange,48361
536,TX,Blanco,48031
555,LA,Calcasieu,22019
535,TX,Kendall,48259
556,LA,Calcasieu,22019
436,TX,Presidio,48377
534,TX,Kendall,48259
557,LA,Calcasieu,22019
361,FL,Levy,12075
533,TX,Kerr,48265
558,LA,Jefferson Davis,22053
435,TX,Presidio,48377
532,TX,Kerr,48265
559,LA,Acadia,22001
531,TX,Kerr,48265
560,LA,Acadia,22001
530,TX,Edwards,48137
561,LA,Lafayette,22055
434,TX,Presidio,48377
362,FL,Levy,12075
529,TX,Edwards,48137
562,LA,St Martin,22099
528,TX,Edwards,48137
563,LA,St Martin,22099
433,TX,Presidio,48377
527,TX,Edwards,48137
564,LA,Iberville,22047
363,FL,Marion,12083
526,TX,Val Verde,48465
565,LA,Iberville,22047
525,TX,Val Verde,48465
566,LA,Ascension,22005
524,TX,Val Verde,48465
567,LA,St John the Baptist,22095
364,FL,Marion,12083
523,TX,Val Verde,48465
568,LA,St John the Baptist,22095
522,TX,Terrell,48443
569,LA,Jefferson,22051
365,FL,Marion,12083
521,TX,Terrell,48443
570,LA,Orleans,22071
520,TX,Terrell,48443
366,FL,Putnam,12107
519,TX,Pecos,48371
518,TX,Brewster,48043
423,FL,Dixie,12029
517,TX,Brewster,48043
367,FL,Flagler,12035
516,TX,Brewster,48043
626,TX,Grimes,48185
627,TX,Grimes,48185
625,TX,Burleson,48051
628,TX,Montgomery,48339
624,TX,Burleson,48051
629,TX,Montgomery,48339
623,TX,Lee,48287
630,TX,San Jacinto,48407
622,TX,Lee,48287
631,TX,Liberty,48291
621,TX,Bastrop,48021
632,TX,Hardin,48199
424,FL,Dixie,12029
620,TX,Travis,48453
633,TX,Hardin,48199
515,TX,Brewster,48043
619,TX,Travis,48453
634,TX,Hardin,48199
368,FL,Volusia,12127
618,TX,Travis,48453
635,TX,Newton,48351
617,TX,Blanco,48031
636,LA,Calcasieu,22019
616,TX,Gillespie,48171
637,LA,Calcasieu,22019
514,TX,Presidio,48377
615,TX,Gillespie,48171
638,LA,Calcasieu,22019
425,FL,Gilchrist,12041
496,FL,Gulf,12045
614,TX,Gillespie,48171
639,LA,Jefferson Davis,22053
513,TX,Presidio,48377
613,TX,Kimble,48267
640,LA,Acadia,22001
612,TX,Kimble,48267
641,LA,Acadia,22001
497,FL,Franklin,12037
611,TX,Kimble,48267
642,LA,St Landry,22097
512,TX,Presidio,48377
426,FL,Alachua,12001
610,TX,Sutton,48435
643,LA,St Martin,22099
609,TX,Sutton,48435
644,LA,Iberville,22047
511,TX,Presidio,48377
498,FL,Franklin,12037
608,TX,Sutton,48435
645,LA,Iberville,22047
427,FL,Alachua,12001
607,TX,Sutton,48435
646,LA,East Baton Rouge,22033
606,TX,Crockett,48105
647,LA,Livingston,22063
605,TX,Crockett,48105
648,LA,Livingston,22063
428,FL,Alachua,12001
604,TX,Crockett,48105
649,LA,Tangipahoa,22105
603,TX,Terrell,48443
650,LA,St Tammany,22103
429,FL,Putnam,12107
602,TX,Terrell,48443
651,LA,St Tammany,22103
601,TX,Pecos,48371
652,MS,Hancock,28045
430,FL,Putnam,12107
600,TX,Pecos,48371
653,MS,Hancock,28045
501,FL,Taylor,12123
599,TX,Pecos,48371
654,MS,Harrison,28047
502,FL,Taylor,12123
431,FL,Flagler,12035
598,TX,Brewster,48043
574,FL,Bay,12005
597,TX,Brewster,48043
656,MS,Jackson,28059
721,TX,Grimes,48185
722,TX,Grimes,48185
720,TX,Brazos,48041
723,TX,Walker,48471
719,TX,Burleson,48051
724,TX,Walker,48471
718,TX,Milam,48331
725,TX,San Jacinto,48407
717,TX,Milam,48331
726,TX,Polk,48373
503,FL,Lafayette,12067
716,TX,Williamson,48491
727,TX,Polk,48373
715,TX,Williamson,48491
728,TX,Tyler,48457
596,TX,Brewster,48043
575,FL,Gulf,12045
714,TX,Williamson,48491
729,TX,Tyler,48457
713,TX,Burnet,48053
730,TX,Newton,48351
712,TX,Burnet,48053
731,LA,Beauregard,22011
711,TX,Llano,48299
732,LA,Beauregard,22011
595,TX,Presidio,48377
658,AL,Mobile,1097
504,FL,Gilchrist,12041
710,TX,Llano,48299
733,LA,Beauregard,22011
576,FL,Liberty,12077
709,TX,Mason,48319
734,LA,Allen,22003
594,TX,Presidio,48377
708,TX,Mason,48319
735,LA,Allen,22003
707,TX,Kimble,48267
736,LA,Evangeline,22039
577,FL,Liberty,12077
505,FL,Columbia,12023
706,TX,Kimble,48267
737,LA,St Landry,22097
593,TX,Presidio,48377
660,AL,Baldwin,1003
705,TX,Sutton,48435
738,LA,St Landry,22097
704,TX,Sutton,48435
739,LA,Pointe Coupee,22077
592,TX,Presidio,48377
661,FL,Escambia,12033
578,FL,Wakulla,12129
703,TX,Sutton,48435
740,LA,Pointe Coupee,22077
506,FL,Alachua,12001
702,TX,Sutton,48435
741,LA,East Baton Rouge,22033
662,FL,Santa Rosa,12113
579,FL,Wakulla,12129
701,TX,Crockett,48105
742,LA,Livingston,22063
507,FL,Bradford,12007
700,TX,Crockett,48105
743,LA,Livingston,22063
580,FL,Wakulla,12129
699,TX,Crockett,48105
744,LA,Tangipahoa,22105
698,TX,Terrell,48443
745,LA,St Tammany,22103
508,FL,Clay,12019
581,FL,Taylor,12123
697,TX,Terrell,48443
746,LA,St Tammany,22103
696,TX,Pecos,48371
747,MS,Pearl River,28109
666,FL,Walton,12131
509,FL,Clay,12019
582,FL,Taylor,12123
695,TX,Pecos,48371
748,MS,Hancock,28045
694,TX,Pecos,48371
749,MS,Harrison,28047
667,FL,Bay,12005
583,FL,Taylor,12123
510,FL,St Johns,12109
693,TX,Pecos,48371
750,MS,Jackson,28059
668,FL,Bay,12005
692,TX,Pecos,48371
751,MS,Jackson,28059
818,TX,Madison,48313
819,TX,Madison,48313
817,TX,Brazos,48041
820,TX,Walker,48471
816,TX,Robertson,48395
821,TX,Trinity,48455
815,TX,Milam,48331
822,TX,Polk,48373
584,FL,Suwannee,12121
814,TX,Milam,48331
823,TX,Polk,48373
813,TX,Bell,48027
824,TX,Tyler,48457
812,TX,Bell,48027
825,TX,Tyler,48457
669,FL,Calhoun,12013
691,TX,Jeff Davis,48243
752,AL,Mobile,1097
811,TX,Burnet,48053
826,TX,Jasper,48241
810,TX,Burnet,48053
827,TX,Jasper,48241
809,TX,Burnet,48053
828,TX,Newton,48351
690,TX,Jeff Davis,48243
753,AL,Mobile,1097
808,TX,Llano,48299
829,LA,Beauregard,22011
585,FL,Suwannee,12121
670,FL,Calhoun,12013
807,TX,Llano,48299
830,LA,Beauregard,22011
806,TX,Mason,48319
831,LA,Allen,22003
689,TX,Jeff Davis,48243
754,AL,Baldwin,1003
805,TX,Mason,48319
832,LA,Allen,22003
804,TX,Menard,48327
833,LA,Evangeline,22039
671,FL,Liberty,12077
586,FL,Columbia,12023
688,TX,Jeff Davis,48243
755,AL,Baldwin,1003
803,TX,Menard,48327
834,LA,Avoyelles,22009
802,TX,Schleicher,48413
835,LA,Avoyelles,22009
801,TX,Schleicher,48413
836,LA,West Feliciana,22125
687,TX,Jeff Davis,48243
756,FL,Escambia,12033
672,FL,Leon,12073
587,FL,Union,12125
800,TX,Schleicher,48413
837,LA,West Feliciana,22125
686,TX,Jeff Davis,48243
757,FL,Santa Rosa,12113
799,TX,Schleicher,48413
838,LA,East Feliciana,22037
673,FL,Leon,12073
798,TX,Crockett,48105
839,LA,East Feliciana,22037
588,FL,Bradford,12007
758,FL,Santa Rosa,12113
797,TX,Crockett,48105
840,LA,St Helena,22091
674,FL,Leon,12073
796,TX,Crockett,48105
841,LA,Tangipahoa,22105
759,FL,Okaloosa,12091
795,TX,Pecos,48371
842,LA,Washington,22117
589,FL,Clay,12019
675,FL,Jefferson,12065
760,FL,Walton,12131
794,TX,Pecos,48371
843,LA,Washington,22117
793,TX,Pecos,48371
844,MS,Pearl River,28109
590,FL,St Johns,12109
761,FL,Walton,12131
676,FL,Madison,12079
792,TX,Pecos,48371
845,MS,Pearl River,28109
791,TX,Pecos,48371
846,MS,Stone,28131
762,FL,Washington,12133
591,FL,St Johns,12109
677,FL,Madison,12079
790,TX,Pecos,48371
847,MS,George,28039
763,FL,Washington,12133
789,TX,Pecos,48371
848,MS,George,28039
916,TX,Leon,48289
917,TX,Leon,48289
915,TX,Robertson,48395
918,TX,Houston,48225
678,FL,Suwannee,12121
914,TX,Robertson,48395
919,TX,Houston,48225
913,TX,Falls,48145
920,TX,Trinity,48455
912,TX,Falls,48145
921,TX,Trinity,48455
911,TX,Bell,48027
922,TX,Angelina,48005
764,FL,Jackson,12063
910,TX,Bell,48027
923,TX,Angelina,48005
788,TX,Reeves,48389
849,AL,Mobile,1097
909,TX,Coryell,48099
924,TX,San Augustine,48405
908,TX,Lampasas,48281
925,TX,Newton,48351
907,TX,Lampasas,48281
926,TX,Newton,48351
787,TX,Jeff Davis,48243
850,AL,Mobile,1097
906,TX,San Saba,48411
927,LA,Vernon,22115
679,FL,Hamilton,12047
765,FL,Jackson,12063
905,TX,San Saba,48411
928,LA,Vernon,22115
904,TX,McCulloch,48307
929,LA,Vernon,22115
786,TX,Jeff Davis,48243
851,AL,Baldwin,1003
903,TX,McCulloch,48307
930,LA,Rapides,22079
902,TX,Concho,48095
931,LA,Rapides,22079
766,FL,Gadsden,12039
680,FL,Columbia,12023
785,TX,Jeff Davis,48243
852,FL,Escambia,12033
901,TX,Concho,48095
932,LA,Avoyelles,22009
900,TX,Tom Green,48451
933,LA,Avoyelles,22009
767,FL,Gadsden,12039
784,TX,Culberson,48109
853,FL,Escambia,12033
899,TX,Tom Green,48451
934,MS,Wilkinson,28157
681,FL,Baker,12003
898,TX,Tom Green,48451
935,MS,Wilkinson,28157
783,TX,Culberson,48109
854,FL,Santa Rosa,12113
897,TX,Irion,48235
936,MS,Wilkinson,28157
768,FL,Gadsden,12039
896,TX,Irion,48235
937,MS,Amite,28005
682,GA,Charlton,13049
782,TX,Hudspeth,48229
855,FL,Santa Rosa,12113
895,TX,Reagan,48383
938,MS,Amite,28005
769,FL,Leon,12073
894,TX,Reagan,48383
939,MS,Pike,28113
781,TX,Hudspeth,48229
856,FL,Okaloosa,12091
683,FL,Duval,12031
893,TX,Upton,48461
940,MS,Walthall,28147
770,FL,Jefferson,12065
857,FL,Walton,12131
892,TX,Upton,48461
941,MS,Marion,28091
891,TX,Crane,48103
942,MS,Lamar,28073
684,FL,Duval,12031
858,FL,Walton,12131
771,FL,Jefferson,12065
890,TX,Pecos,48371
943,MS,Lamar,28073
859,FL,Holmes,12059
889,TX,Pecos,48371
944,MS,Perry,28111
772,FL,Madison,12079
888,TX,Pecos,48371
945,MS,Perry,28111
860,FL,Holmes,12059
887,TX,Reeves,48389
946,MS,Greene,28041
773,GA,Echols,13101
1027,TX,Leon,48289
1028,TX,Leon,48289
1026,TX,Limestone,48293
1029,TX,Houston,48225
1025,TX,Limestone,48293
1030,TX,Houston,48225
1024,TX,Falls,48145
1031,TX,Houston,48225
1023,TX,McLennan,48309
1032,TX,Angelina,48005
1022,TX,McLennan,48309
1033,TX,Angelina,48005
861,FL,Jackson,12063
886,TX,Reeves,48389
947,AL,Washington,1129
1021,TX,Coryell,48099
1034,TX,Nacogdoches,48347
1020,TX,Coryell,48099
1035,TX,San Augustine,48405
1019,TX,Lampasas,48281
1036,TX,Sabine,48403
1018,TX,Mills,48333
1037,LA,Sabine,22085
774,GA,Echols,13101
885,TX,Reeves,48389
948,AL,Mobile,1097
1017,TX,Mills,48333
1038,LA,Sabine,22085
862,FL,Jackson,12063
1016,TX,San Saba,48411
1039,LA,Natchitoches,22069
1015,TX,McCulloch,48307
1040,LA,Rapides,22079
884,TX,Culberson,48109
949,AL,Baldwin,1003
1014,TX,McCulloch,48307
1041,LA,Rapides,22079
863,GA,Seminole,13253
775,GA,Echols,13101
1013,TX,Concho,48095
1042,LA,Rapides,22079
883,TX,Culberson,48109
950,AL,Baldwin,1003
1012,TX,Concho,48095
1043,LA,Rapides,22079
1011,TX,Tom Green,48451
1044,LA,Catahoula,22025
864,GA,Decatur,13087
882,TX,Culberson,48109
951,AL,Escambia,1053
1010,TX,Tom Green,48451
1045,LA,Concordia,22029
776,GA,Ware,13299
1009,TX,Tom Green,48451
1046,MS,Adams,28001
881,TX,Culberson,48109
952,AL,Escambia,1053
1008,TX,Irion,48235
1047,MS,Franklin,28037
865,GA,Grady,13131
1007,TX,Irion,48235
1048,MS,Franklin,28037
777,GA,Charlton,13049
880,TX,Hudspeth,48229
953,AL,Escambia,1053
1006,TX,Reagan,48383
1049,MS,Lincoln,28085
866,GA,Grady,13131
1005,TX,Reagan,48383
1050,MS,Lincoln,28085
879,TX,Hudspeth,48229
954,AL,Covington,1039
778,FL,Nassau,12089
1004,TX,Upton,48461
1051,MS,Lawrence,28077
867,GA,Thomas,13275
878,TX,Hudspeth,48229
955,AL,Covington,1039
1003,TX,Upton,48461
1052,MS,Marion,28091
1002,TX,Crane,48103
1053,MS,Lamar,28073
779,FL,Nassau,12089
956,AL,Geneva,1061
868,GA,Brooks,13027
1001,TX,Crane,48103
1054,MS,Forrest,28035
957,AL,Geneva,1061
1000,TX,Ward,48475
1055,MS,Perry,28111
869,GA,Brooks,13027
999,TX,Ward,48475
1056,MS,Perry,28111
958,AL,Geneva,1061
998,TX,Reeves,48389
1057,MS,Greene,28041
870,GA,Lowndes,13185
1143,TX,Freestone,48161
1144,TX,Freestone,48161
1142,TX,Freestone,48161
1145,TX,Anderson,48001
1141,TX,Limestone,48293
1146,TX,Anderson,48001
1140,TX,McLennan,48309
1147,TX,Cherokee,48073
1139,TX,McLennan,48309
1148,TX,Nacogdoches,48347
959,AL,Houston,1069
1138,TX,McLennan,48309
1149,TX,Nacogdoches,48347
997,TX,Reeves,48389
1058,AL,Washington,1129
1137,TX,Bosque,48035
1150,TX,Nacogdoches,48347
1136,TX,Hamilton,48193
1151,TX,Shelby,48419
1135,TX,Hamilton,48193
1152,TX,Shelby,48419
1134,TX,Hamilton,48193
1153,LA,Sabine,22085
871,GA,Clinch,13065
996,TX,Reeves,48389
1059,AL,Washington,1129
1133,TX,Mills,48333
1154,LA,Sabine,22085
960,AL,Houston,1069
1132,TX,Brown,48049
1155,LA,Natchitoches,22069
1131,TX,Brown,48049
1156,LA,Grant,22043
995,TX,Culberson,48109
1060,AL,Clarke,1025
1130,TX,Coleman,48083
1157,LA,Grant,22043
872,GA,Clinch,13065
961,GA,Miller,13201
1129,TX,Coleman,48083
1158,LA,Grant,22043
994,TX,Culberson,48109
1061,AL,Monroe,1099
1128,TX,Runnels,48399
1159,LA,La Salle,22059
1127,TX,Runnels,48399
1160,LA,Catahoula,22025
962,GA,Miller,13201
993,TX,Culberson,48109
1062,AL,Monroe,1099
1126,TX,Tom Green,48451
1161,LA,Concordia,22029
873,GA,Charlton,13049
1125,TX,Tom Green,48451
1162,MS,Adams,28001
992,TX,Culberson,48109
1063,AL,Conecuh,1035
1124,TX,Sterling,48431
1163,MS,Jefferson,28063
963,GA,Mitchell,13205
874,GA,Charlton,13049
1123,TX,Sterling,48431
1164,MS,Jefferson,28063
991,TX,Hudspeth,48229
1064,AL,Conecuh,1035
1122,TX,Reagan,48383
1165,MS,Lincoln,28085
964,GA,Mitchell,13205
1121,TX,Reagan,48383
1166,MS,Lincoln,28085
990,TX,Hudspeth,48229
1065,AL,Covington,1039
875,GA,Camden,13039
1120,TX,Upton,48461
1167,MS,Lawrence,28077
965,GA,Colquitt,13071
989,TX,Hudspeth,48229
1066,AL,Covington,1039
1119,TX,Upton,48461
1168,MS,Jefferson Davis,28065
876,GA,Camden,13039
1118,TX,Crane,48103
1169,MS,Covington,28031
988,TX,Hudspeth,48229
1067,AL,Coffee,1031
966,GA,Colquitt,13071
1117,TX,Crane,48103
1170,MS,Jones,28067
1068,AL,Coffee,1031
1116,TX,Ward,48475
1171,MS,Jones,28067
967,GA,Cook,13075
1115,TX,Ward,48475
1172,MS,Wayne,28153
1069,AL,Dale,1045
1114,TX,Ward,48475
1173,MS,Wayne,28153
968,GA,Lanier,13173
1270,TX,Freestone,48161
1271,TX,Anderson,48001
1269,TX,Navarro,48349
1272,TX,Anderson,48001
1268,TX,Navarro,48349
1273,TX,Cherokee,48073
1267,TX,Hill,48217
1274,TX,Cherokee,48073
1070,AL,Henry,1067
1266,TX,Hill,48217
1275,TX,Rusk,48401
1265,TX,Hill,48217
1276,TX,Rusk,48401
1113,TX,Reeves,48389
